country,total_n_imports_t,gulf_pct_n,russia_pct_n,combined_pct,gulf_n_at_risk_t,gulf_pct_p,gulf_p_at_risk_t
Rwanda,7599.48,0.957,0,0.957,7272.702359999999,0.5893,11642.735277
Uganda,19233.61666666667,0.267,0.371025034206433,0.6380250342064331,5135.375650000001,0.6895,4516.613418333333
India,11872777.833333332,0.637,NA,0.637,7562959.479833333,0.2922,4519622.680008001
Thailand,2948157.17,0.47,NA,0.47,1385633.8698999998,0,0
Tanzania,259260.40333333332,0.297,0.10106791909922622,0.39806791909922623,77000.33979,0.1807,20522.506779666666
Morocco,2046213.3833333335,0.383,NA,0.383,783699.7258166667,0,0
Malawi,175939.85333333333,0.382,0,0.382,67209.02397333333,0.9994,23922.844342666667
Mozambique,136405.45,0.171,0.18760126518977846,0.3586012651897785,23325.331950000003,1,40296.013333333336
Kenya,135026.68,0.357,0,0.357,48204.52475999999,0.4217,92847.03422300001
Brazil,13625911.406666666,0.213,NA,0.213,2902319.12962,0.1903,1929822.720932333
United States of America,11130505.666666666,0.164,NA,0.164,1825402.9293333334,0.686,3472561.7266666666
Zimbabwe,247523.75666666668,0.017,0.01425548665277845,0.031255486652778455,4207.903863333334,0,0
Australia,3765832.7866666666,NA,NA,NA,NA,0.1979,356940.86394333333
